,日期,质量等级,AQI指数,当天AQI排名,PM2.5,PM10,So2,No2,Co,O3,,Flag
0,2017/1/1,严重污染,454,365,430,501,8,131,6.43,4,,1
1,2017/1/2,重度污染,220,296,161,246,12,92,3.14,24,,1
2,2017/1/3,严重污染,338,354,290,380,17,137,5.61,9,,1
3,2017/1/4,严重污染,393,360,344,452,18,145,7.28,8,,1
4,2017/1/5,严重污染,276,345,224,275,15,109,5.55,5,,1
5,2017/1/6,重度污染,245,350,194,190,23,104,4.28,7,,1
6,2017/1/7,重度污染,211,327,165,128,17,80,3.22,6,,1
7,2017/1/8,良,54,104,36,22,9,33,0.97,42,,0
8,2017/1/9,优,49,67,32,44,6,36,0.76,38,,0
9,2017/1/10,优,44,71,23,40,6,32,0.64,45,,0
10,2017/1/11,良,77,198,56,81,18,70,1.54,14,,0
11,2017/1/12,良,59,148,39,57,11,46,0.88,38,,0
12,2017/1/13,优,30,35,7,20,4,19,0.38,60,,0
13,2017/1/14,优,35,39,18,37,10,41,0.8,32,,0
14,2017/1/15,良,72,197,51,69,10,48,0.99,18,,0
15,2017/1/16,轻度污染,123,284,92,107,17,65,1.71,4,,1
16,2017/1/17,中度污染,176,311,132,144,20,71,2.11,10,,1
17,2017/1/18,良,53,74,37,50,9,48,0.83,26,,0
18,2017/1/19,良,85,161,45,88,13,36,1.17,39,,0
19,2017/1/20,优,40,45,21,34,7,31,0.69,48,,0
20,2017/1/21,良,53,58,25,49,9,28,0.78,48,,0
21,2017/1/22,优,36,8,23,34,10,38,0.79,37,,0
22,2017/1/23,优,46,35,32,44,12,45,0.98,29,,0
23,2017/1/24,轻度污染,114,239,85,100,27,73,2.04,15,,1
24,2017/1/25,重度污染,221,314,171,186,38,91,3.22,14,,1
25,2017/1/26,重度污染,203,289,159,196,25,62,2.66,33,,1
26,2017/1/27,良,85,149,60,88,20,28,0.72,59,,0
27,2017/1/28,严重污染,364,359,337,419,81,69,2.62,16,,1
28,2017/1/29,良,80,166,39,75,10,16,0.72,61,,0
29,2017/1/30,优,47,101,24,31,9,19,0.56,62,,0
30,2017/1/31,轻度污染,102,310,75,86,27,40,1.26,45,,1
0,2017/2/1,良,54,125,30,49,12,24,0.6,56,,0
1,2017/2/2,轻度污染,107,264,80,101,29,58,1.53,31,,1
2,2017/2/3,中度污染,196,327,154,181,43,83,2.57,25,,1
3,2017/2/4,严重污染,294,358,247,280,49,92,3.23,33,,1
4,2017/2/5,优,32,6,12,16,6,23,0.46,64,,0
5,2017/2/6,优,35,14,12,23,6,26,0.47,55,,0
6,2017/2/7,轻度污染,101,322,75,93,20,59,1.51,17,,1
7,2017/2/8,良,60,221,32,50,6,26,0.73,56,,0
8,2017/2/9,优,36,24,6,20,2,10,0.3,73,,0
9,2017/2/10,优,38,23,6,22,2,13,0.31,74,,0
10,2017/2/11,良,62,86,42,66,17,43,0.87,45,,0
11,2017/2/12,轻度污染,138,306,104,132,41,76,2.28,23,,1
12,2017/2/13,轻度污染,109,229,79,104,23,66,2.06,32,,1
13,2017/2/14,重度污染,225,338,176,190,30,95,2.89,12,,1
14,2017/2/15,严重污染,283,358,232,209,35,105,3.16,22,,1
15,2017/2/16,轻度污染,145,289,107,71,18,54,1.44,47,,1
16,2017/2/17,优,45,39,20,37,6,27,0.52,59,,0
17,2017/2/18,轻度污染,111,255,83,119,25,71,1.58,25,,1
18,2017/2/19,轻度污染,150,277,97,143,24,61,1.41,43,,1
19,2017/2/20,优,39,15,10,31,4,23,0.42,62,,0
20,2017/2/21,良,83,308,60,77,14,58,1.32,17,,0
21,2017/2/22,轻度污染,106,313,76,50,6,40,1.08,41,,1
22,2017/2/23,优,36,43,16,28,6,29,0.59,60,,0
23,2017/2/24,优,43,80,25,39,9,43,0.76,45,,0
24,2017/2/25,优,30,27,10,21,5,29,0.47,58,,0
25,2017/2/26,优,44,50,27,45,9,49,0.76,41,,0
26,2017/2/27,良,87,219,64,93,16,75,1.42,27,,0
27,2017/2/28,优,34,1,14,29,6,32,0.52,58,,0
0,2017/3/1,优,44,28,7,37,2,13,0.32,79,,0
1,2017/3/2,良,61,105,36,73,11,50,0.81,40,,0
2,2017/3/3,轻度污染,110,343,82,139,22,67,1.47,33,,1
3,2017/3/4,轻度污染,112,273,83,107,24,68,1.54,47,,1
4,2017/3/5,优,45,35,14,33,4,19,0.38,73,,0
5,2017/3/6,优,44,54,16,44,5,34,0.61,48,,0
6,2017/3/7,优,36,12,6,24,2,12,0.3,70,,0
7,2017/3/8,优,35,15,9,29,2,20,0.39,68,,0
8,2017/3/9,优,35,11,11,32,3,33,0.45,53,,0
9,2017/3/10,良,55,85,30,60,10,59,0.79,41,,0
10,2017/3/11,良,74,190,45,81,15,47,0.83,51,,0
11,2017/3/12,优,41,43,6,27,2,11,0.26,79,,0
12,2017/3/13,优,37,48,9,26,4,27,0.4,63,,0
13,2017/3/14,优,42,74,17,44,6,38,0.52,52,,0
14,2017/3/15,良,84,295,61,91,20,65,1.13,40,,0
15,2017/3/16,轻度污染,149,361,112,153,23,86,1.35,39,,1
16,2017/3/17,中度污染,159,354,120,159,18,68,1.07,46,,1
17,2017/3/18,中度污染,184,359,140,168,14,65,1.13,67,,1
